id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000018988,9603126.262150273,0.001178696117268725,6.118585525978276,84566.2346,445306.5816,P.C. Boutenspad 8,1,1966
0503100000018989,12818003.413124992,0.0015732929508316892,8.1669289785976,84577.5788,445311.3772,P.C. Boutenspad 12,1,1966
0503100000018990,12470940.804693216,0.0015306941826971868,7.9457997135447584,84557.6238,445339.0964,P.C. Boutenspad 11,1,1966
0503100000019096,13458538.967704786,0.0016519128450771198,8.575043114155038,84448.3074,445292.62860000005,Frederik van Eedenlaan 11,1,1966
0503100000019098,12420049.383158555,0.0015244477251033074,7.9133744900604315,84424.4434,445346.5594,Multatuliweg 34,1,1966
0503100000019099,10008393.443574663,0.0012284389656038678,6.376799553652849,84394.9268,445355.407,Louis Couperuslaan 4,1,1966
0503100000019100,13030188.229757713,0.0015993367008232012,8.302121509908817,84389.2378,445352.9938,Louis Couperuslaan 2,1,1966
0503100000019102,13609762.681120941,0.0016704741759371673,8.671394572923175,84511.6088,445247.55980000005,Frederik van Eedenlaan 23,1,1966
0503100000019103,11344148.020852203,0.001392390650803144,7.227869132421415,84442.6276,445290.21880000003,Frederik van Eedenlaan 9,1,1966
0503100000019104,11468458.37909443,0.0014076486129080375,7.307072876900741,84436.9476,445287.8092,Frederik van Eedenlaan 7,1,1966
0503100000019106,10080477.121746983,0.0012372865793143157,6.422727321119865,84425.5876,445282.9896,Frederik van Eedenlaan 3,1,1966
0503100000019107,12637322.494436951,0.0015511160168303598,8.051809003734585,84419.90900000001,445280.5804,Frederik van Eedenlaan 1,1,1966
0503100000019108,9893892.215427453,0.0012143849847068805,6.303845649046852,84426.3622,445342.0298,Multatuliweg 36,1,1966
0503100000019109,10026200.822367746,0.0012306246588530412,6.388145439061897,84429.2404,445335.23600000003,Multatuliweg 38,1,1966
